X,Y,osmid,amenity,building,id
103.8590822,1.3359116,148543925,,yes,1
103.858007878821,1.33947627458405,150724675,,yes,1
103.857182674876,1.33889105446165,150724676,,yes,1
103.855926103494,1.3394558215004,150724677,,yes,1
103.858370363294,1.3371279382679,150724679,,yes,1
103.858375286805,1.33663703818542,150724680,,yes,1
103.858460824975,1.33827542867076,150724681,,yes,1
103.858801571225,1.33910427519115,150724682,,yes,1
103.857952875529,1.33855624554791,150724683,,yes,1
103.85707445,1.33946245,150724684,,yes,1
103.83903605,1.33317485,168815544,,yes,1
103.83962487744,1.33363891950966,168815547,public_building,yes,1
103.846204038008,1.33911054432306,169227972,,yes,1
103.84485196402,1.34177748838914,169227973,,yes,1
103.846360662452,1.33984467743003,169227974,,yes,1
103.845244,1.3423211,169227975,,residential,1
103.848452619161,1.33629907512513,169227977,,yes,1
103.845244,1.34182865,169227978,,yes,1
103.844616496213,1.3412608420622,169227979,,yes,1
103.844325395496,1.34090522698111,169227980,,yes,1
103.844319830894,1.34063061936615,169227981,,yes,1
103.845273395229,1.34033721020865,169227982,,yes,1
103.84762000244,1.3395712888602,169467528,,yes,1
103.847580252949,1.33908600523232,169467529,,yes,1
103.847278199217,1.33870195246655,169467530,,yes,1
103.846898515568,1.3387435715862,169467532,,yes,1
103.847276545085,1.33972198640144,169467533,,yes,1
103.847788352084,1.33848833583058,169467932,,yes,1
103.848656466369,1.33888765862885,169467933,,yes,1
103.85202055,1.34302975,169511247,place_of_worship,yes,1
103.846017573695,1.34298319577647,169511248,,yes,1
103.852367271559,1.34291453292606,169511250,,yes,1
103.847317979079,1.34329832641135,169511251,,yes,1
103.850799964349,1.34079249515269,169517613,,yes,1
103.852229440751,1.34043544512564,169517614,,yes,1
103.850684524843,1.3419734524531,169517615,,yes,1
103.849182572546,1.34204162515657,169517616,,yes,1
103.849133096483,1.34144802852044,169517617,,yes,1
103.849595947035,1.34151452444444,169517618,,yes,1
103.851057069889,1.34050275207243,169517619,,yes,1
103.8502413705,1.34127263187838,169517620,,yes,1
103.851580434585,1.34020256056979,169517621,,yes,1
103.850941522744,1.3414845833095,169517622,,yes,1
103.852304324174,1.33996731310013,169517623,,yes,1
103.853127382016,1.33743191506642,169517711,,yes,1
103.852637809793,1.33714253676819,169517712,,yes,1
103.851644327209,1.33840857025788,169517713,,yes,1
103.853678734226,1.33718527526095,169518580,,yes,1
103.85394468637,1.33639926043857,169518581,,yes,1
103.854661905866,1.33628691201942,169518582,community_centre,yes,1
103.853388752376,1.33650810601807,169518583,,yes,1
103.855193281537,1.33603387193933,169518584,,yes,1
103.854029809117,1.33687432877672,169518586,,yes,1
103.854361682053,1.33579265988608,169518587,,yes,1
103.853912232182,1.33579357288073,169518614,,yes,1
103.854437228042,1.34099732523488,169524934,,yes,1
103.856094275465,1.34115566160651,169524935,,yes,1
103.85515085,1.341758,169524936,,yes,1
103.85469455,1.3426451,169524937,,yes,1
103.85588865,1.34274075,169524938,,yes,1
103.8551822,1.34271325,169524939,,yes,1
103.85646372448,1.34260527134819,169524940,,yes,1
103.854383353699,1.34180197866225,169524941,,yes,1
103.85419865,1.3424725,169524942,,yes,1
103.8560756,1.34171845,169524943,,yes,1
103.8555896,1.34122485,169524944,,yes,1
103.85698895,1.342613,169524945,,yes,1
103.856885801427,1.34061992809536,169525196,,yes,1
103.854344922256,1.34065327494735,169525197,,yes,1
103.853772,1.34042465,169525198,,yes,1
103.858214933209,1.34068271644751,169525481,,yes,1
103.858629417086,1.3403811854643,169525484,,yes,1
103.857783898102,1.34075608666797,169525486,,yes,1
103.859602857999,1.33986699910502,169525488,,yes,1
103.859879898813,1.33956047706914,169525489,,yes,1
103.859166457519,1.34015293116149,169525490,,yes,1
103.857301561621,1.33802887504616,169525921,,yes,1
103.85842195,1.33571825,169525922,,yes,1
103.857241061621,1.33713847504616,169525924,,yes,1
103.858316313208,1.33617776553328,169525925,,yes,1
103.857183986506,1.33851684104714,169525926,,yes,1
103.857715209335,1.33659448286851,169526079,,yes,1
103.856716094396,1.33773855827552,169526080,,yes,1
103.857769263093,1.33762180314905,169526081,,yes,1
103.85583150395,1.33864392893718,169526702,,yes,1
103.855545354533,1.3390481204677,169526703,,yes,1
103.8544709,1.3391818,169528287,,yes,1
103.853716870757,1.33859172530678,169528289,,yes,1
103.85344167925,1.33939482469327,169528290,,yes,1
103.86137995,1.33547135,169537915,,yes,1
103.861416394269,1.33637141926903,169537916,,yes,1
103.861421875317,1.33612409506239,169537917,,yes,1
103.860466395235,1.33637802986821,169537918,,yes,1
103.861260817172,1.33712882492846,169537919,,yes,1
103.8604576,1.33577125,169537920,,yes,1
103.860471875159,1.33612409620156,169537921,,yes,1
103.860121075153,1.33674098887056,169537922,,yes,1
103.861367969295,1.33577922528554,169537923,,yes,1
103.86126685,1.33678255,169537924,,yes,1
103.8604696,1.3354645,169537925,,yes,1
103.860391041621,1.33711378337743,169537926,,yes,1
103.8603002,1.33451265,169538107,,yes,1
103.861311624968,1.33451429491969,169538108,,yes,1
103.859055559734,1.33496507452931,169538530,place_of_worship,yes,1
103.8584625,1.33462605,169538531,,yes,1
103.8584951,1.3349562,169538532,,yes,1
103.859409914251,1.33476706272646,169538533,community_centre,yes,1
103.86104785,1.33495785,169538674,,yes,1
103.857060013968,1.3360994954067,169539031,,yes,1
103.8568193,1.33573655,169539032,,yes,1
103.856387119878,1.33631602667235,169539034,,yes,1
103.856550175478,1.334739315704,169539356,,yes,1
103.857528105214,1.33540671244079,169539357,,yes,1
103.85648885235,1.33531487226506,169539358,,yes,1
103.857207467679,1.33456055609051,169539359,,yes,1
103.857193993166,1.33494476233342,169539360,,yes,1
103.857006925904,1.33537429326063,169539361,,yes,1
103.855743874067,1.33045135586776,169541496,,yes,1
103.858986714084,1.33043501732399,169541499,,yes,1
103.856619004091,1.3318448883478,169541502,,yes,1
103.855824363395,1.33010382908849,169541504,,yes,1
103.858602375123,1.33040451485744,169541509,,yes,1
103.8581689,1.33095675,169541512,,yes,1
103.856530829288,1.33023292484492,169541514,,yes,1
103.856621174013,1.33107368683459,169541516,,yes,1
103.856372313213,1.33068812675398,169541518,,yes,1
103.858382917042,1.33173924961264,169541520,,yes,1
103.857097941517,1.33160413750957,169541522,,yes,1
103.857763057058,1.33163719228486,169541523,,yes,1
103.856612369093,1.33134466764145,169541528,,yes,1
103.857248207441,1.33123344043135,169541531,,yes,1
103.857767456254,1.33113294529209,169541533,,yes,1
103.857750823492,1.33366845949422,169541534,,yes,1
103.856862972703,1.33296644370466,169541535,,yes,1
103.857790998303,1.33280478644765,169541536,,yes,1
103.857079351183,1.33362629122391,169541544,,yes,1
103.858272824638,1.33214267231867,169541546,,yes,1
103.856465561875,1.33231878556519,169541547,,yes,1
103.856475068123,1.3299429054631,169542539,place_of_worship,yes,1
103.855916410209,1.33088477607832,169542540,,residential,1
103.8599028574,1.33348058087089,169542541,,yes,1
103.855924655172,1.33151075789935,169542542,,yes,1
103.85537030641,1.33122693646065,169542543,,yes,1
103.856155535235,1.33190638377556,169542544,place_of_worship,yes,1
103.853788574665,1.33311057805799,169842541,,yes,1
103.854529525539,1.33320465293796,169842542,,yes,1
103.85336578991,1.33220188259455,169842940,,yes,1
103.852392361907,1.3320855390077,169842941,,yes,1
103.853391410664,1.33317724112234,169842942,,yes,1
103.851931875418,1.33300659323601,169842943,,yes,1
103.852885962948,1.33314340005902,169842944,,commercial,1
103.852372341094,1.33310258713603,169842945,,yes,1
103.854662686792,1.33434979314105,169844044,,yes,1
103.85519451414,1.33483678207284,169844046,,yes,1
103.854731306581,1.33741323872253,169844048,,yes,1
103.851298938307,1.3358204889168,169844049,,yes,1
103.855847367821,1.33452743972432,169844050,,yes,1
103.85420815,1.3347853,169844051,,yes,1
103.85200355,1.3345391,169844052,,yes,1
103.8517545,1.3337905,169844053,,yes,1
103.85518586881,1.33528323608001,169844055,,yes,1
103.84648087803,1.33394401298158,170089574,place_of_worship,yes,1
103.845042074539,1.33521819248713,170089575,community_centre,yes,1
103.8453919,1.33462935,170089576,,yes,1
103.843700121409,1.33475499254608,170089578,,residential,1
103.843843262203,1.33385447433045,170089579,,residential,1
103.844621239864,1.33383873435386,170089580,,residential,1
103.845243164037,1.33252462711884,170089756,,residential,1
103.845554611837,1.33237831753582,170089757,,residential,1
103.846198330681,1.33317726932983,170090278,,residential,1
103.843962772926,1.33580095507581,170090279,,residential,1
103.844121118597,1.33537355414684,170090280,,residential,1
103.845138940959,1.33573738376172,170090281,,residential,1
103.845783850702,1.33575695313059,170090282,,residential,1
103.846460761556,1.33464792368443,170091545,,residential,1
103.846198997954,1.33517759341814,170091548,,residential,1
103.845925364186,1.33414423297591,170091552,,residential,1
103.845097673419,1.33453959080674,170091555,,residential,1
103.845766803738,1.33270483009965,170092202,,residential,1
103.845309902325,1.33363488688369,170092205,,residential,1
103.84521825,1.33400775,170092207,,yes,1
103.849411644029,1.33630388096327,170093269,,yes,1
103.846843935352,1.33635418964005,170093270,,yes,1
103.8475005,1.3362943,170093272,,yes,1
103.84844595,1.33629755,170093275,,yes,1
103.846493690573,1.33682583721965,170093276,,yes,1
103.850430018793,1.33538899867929,170352151,,yes,1
103.848462521514,1.33583983820605,170352152,,yes,1
103.848859660538,1.33561635626447,170352153,,yes,1
103.847697138218,1.33573366083364,170352154,,yes,1
103.846827547963,1.3357533533484,170352155,,yes,1
103.847052481864,1.33534726700096,170352156,,yes,1
103.848944475905,1.33596528869329,170352157,,yes,1
103.850068984372,1.33564151548185,170401660,,yes,1
103.849791172938,1.33596758310743,170401661,,yes,1
103.849128242432,1.33462934713746,170402310,,apartments,1
103.848045635643,1.33463472522815,170402311,,apartments,1
103.847605766228,1.33493536237428,170402316,,yes,1
103.849712916788,1.33466968925769,170402317,,yes,1
103.848576161371,1.33461917515817,170402318,,apartments,1
103.849846808159,1.33446752687558,170402319,,yes,1
103.847452905973,1.33464580059281,170402320,,apartments,1
103.850737085813,1.33485705481312,170402336,place_of_worship,yes,1
103.850337665859,1.33479832926146,170402337,community_centre,yes,1
103.85104367726,1.3318767554478,170402475,,yes,1
103.851311750376,1.33157070354333,170402476,,yes,1
103.851285075159,1.33233453654155,170402477,,yes,1
103.850972434767,1.3340352597792,170402478,,yes,1
103.850972597303,1.33361639851202,170402479,,yes,1
103.85044126084,1.33163001688415,170402480,,yes,1
103.850098976101,1.33388745488476,170403422,,yes,1
103.8474400755,1.33229207288767,170403423,,transportation,1
103.849681652558,1.33257777498703,170403424,,yes,1
103.84999765,1.3327137,170403425,,yes,1
103.847500438446,1.33311660768321,170403426,,yes,1
103.846956337011,1.3328877255503,170403707,,yes,1
103.847069960565,1.33337486422986,170403708,,yes,1
103.8493637891,1.33202702050481,170403709,,yes,1
103.848490369356,1.33203690920867,170403710,,yes,1
103.847873481541,1.33259227201398,170403711,,yes,1
103.84940283003,1.33138779935368,170403712,,yes,1
103.8455849,1.3307039,170403957,,residential,1
103.845092284478,1.33141211618533,170403958,,residential,1
103.845041794053,1.33090650488622,170403959,,residential,1
103.844975121568,1.33017273673263,170403960,,yes,1
103.845024325147,1.33048330977469,170403961,,residential,1
103.844090337034,1.33203314506489,170404065,,residential,1
103.842704321362,1.33174733196507,170404067,,residential,1
103.843442669355,1.33186847448713,170404069,,residential,1
103.842696478198,1.33126864103235,170404328,,residential,1
103.842843092536,1.33082859144844,170404329,,residential,1
103.84086017693,1.33018919982983,170404330,,yes,1
103.84191089582,1.33063507470383,170404331,,residential,1
103.84255035,1.3300038,170404333,,residential,1
103.842462710573,1.33025897164984,170404334,,residential,1
103.843089864435,1.33032084343284,170404335,,residential,1
103.844028417067,1.33323491491342,170405079,,yes,1
103.844641964391,1.33320108299927,170405080,,yes,1
103.840627147822,1.33125127481722,170405082,,yes,1
